                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.98644,                0.49961,                0.91571,                0.94375,                0.95344,                0.98286,                0.50549,                 1.6795,                0.67268,                 1.2307,              0.0015446,              0.0015446,              0.0015446
                     25,                0.99111,                0.50184,                0.91692,                0.93715,                0.94737,                0.97661,                0.51122,                 1.6803,                 0.6574,                 1.2403,              0.0015248,              0.0015248,              0.0015248
                     26,                0.96807,                0.49579,                0.91274,                0.95007,                0.96296,                0.98456,                0.51948,                 1.6969,                0.61911,                 1.2375,               0.001505,               0.001505,               0.001505
                     27,                0.97564,                0.49588,                0.91122,                0.94577,                0.95547,                 0.9792,                0.51417,                 1.7314,                0.64944,                 1.2603,              0.0014852,              0.0014852,              0.0014852
                     28,                0.95488,                0.48579,                0.91125,                 0.9633,                0.95632,                0.98942,                0.53599,                 1.6591,                0.63189,                 1.2204,              0.0014654,              0.0014654,              0.0014654
                     29,                0.93915,                0.48028,                0.90635,                0.94899,                0.95749,                0.98014,                0.50791,                 1.6908,                0.65236,                 1.2414,              0.0014456,              0.0014456,              0.0014456
                     30,                0.94091,                0.47868,                0.90566,                0.96006,                0.97319,                0.98215,                0.53402,                 1.6319,                0.60307,                 1.2183,              0.0014258,              0.0014258,              0.0014258
                     31,                0.92691,                0.47282,                0.90478,                0.95831,                0.96964,                 0.9856,                 0.5366,                 1.6634,                0.61795,                 1.2251,               0.001406,               0.001406,               0.001406
                     32,                0.90704,                0.46685,                0.89741,                0.96699,                0.94882,                 0.9804,                0.51224,                 1.6652,                0.62504,                 1.2307,              0.0013862,              0.0013862,              0.0013862
                     33,                0.91099,                0.46707,                0.90017,                0.96356,                0.94737,                0.97991,                0.52501,                 1.6938,                0.61913,                 1.2362,              0.0013664,              0.0013664,              0.0013664
                     34,                0.90917,                0.46514,                0.89766,                0.96154,                0.96162,                 0.9875,                0.53844,                 1.6356,                0.62851,                 1.2171,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90317,                 0.4672,                0.90052,                0.96733,                0.95888,                0.98912,                0.54128,                 1.6408,                0.61699,                 1.2054,              0.0013268,              0.0013268,              0.0013268
                     36,                0.88509,                0.45744,                 0.8929,                0.95801,                0.96559,                0.98475,                0.53364,                 1.6691,                 0.5888,                 1.2322,               0.001307,               0.001307,               0.001307
                     37,                0.88158,                0.45104,                0.89548,                0.97562,                0.97219,                0.99015,                0.52799,                 1.6675,                0.58683,                 1.2398,              0.0012872,              0.0012872,              0.0012872
                     38,                0.87137,                0.45123,                0.89156,                0.96984,                0.97773,                0.99011,                0.54367,                 1.6489,                0.59144,                  1.224,              0.0012674,              0.0012674,              0.0012674
                     39,                0.86274,                0.44294,                0.88736,                0.97557,                0.97003,                0.99159,                0.55115,                 1.5963,                0.57481,                 1.2015,              0.0012476,              0.0012476,              0.0012476
                     40,                0.85738,                0.43965,                0.88561,                 0.9678,                 0.9735,                0.98686,                 0.5438,                 1.6338,                0.58711,                 1.2152,              0.0012278,              0.0012278,              0.0012278
                     41,                0.84779,                0.43577,                0.88408,                0.96419,                0.98094,                 0.9887,                0.53675,                 1.6507,                0.59582,                 1.2217,               0.001208,               0.001208,               0.001208
                     42,                0.83459,                0.42985,                0.88258,                0.98024,                0.95749,                0.98716,                0.54042,                 1.6537,                0.57807,                 1.2225,              0.0011882,              0.0011882,              0.0011882
                     43,                0.83206,                0.42758,                0.88223,                 0.9642,                 0.9813,                0.98996,                0.53676,                 1.6391,                0.56917,                 1.2141,              0.0011684,              0.0011684,              0.0011684
                     44,                0.83942,                0.42973,                 0.8831,                0.95808,                0.96559,                0.98335,                0.53118,                 1.6691,                0.57936,                 1.2273,              0.0011486,              0.0011486,              0.0011486
                     45,                0.81006,                0.42221,                0.87951,                0.96037,                0.96559,                0.98735,                0.55473,                   1.57,                0.57292,                 1.1934,              0.0011288,              0.0011288,              0.0011288
                     46,                0.82572,                0.42868,                0.88205,                0.97733,                0.96559,                0.98665,                0.55176,                 1.6114,                0.54645,                 1.2159,               0.001109,               0.001109,               0.001109
                     47,                0.81071,                0.41994,                0.88291,                0.95612,                0.97166,                0.98154,                0.51157,                 1.7243,                0.57917,                 1.2632,              0.0010892,              0.0010892,              0.0010892
                     48,                0.81297,                0.42048,                0.87856,                0.96449,                0.96964,                0.98218,                0.53926,                 1.6179,                0.58047,                 1.2077,              0.0010694,              0.0010694,              0.0010694
                     49,                0.79104,                0.41256,                0.87338,                0.94773,                0.96559,                0.98211,                0.51869,                  1.697,                0.59355,                 1.2536,              0.0010496,              0.0010496,              0.0010496
                     50,                0.78984,                0.41378,                0.87087,                0.96393,                0.97364,                 0.9885,                0.54428,                 1.5981,                0.56608,                 1.1985,              0.0010298,              0.0010298,              0.0010298
                     51,                0.79245,                0.41261,                 0.8753,                0.95069,                0.97567,                0.98943,                0.53963,                  1.641,                0.58173,                 1.2208,                0.00101,                0.00101,                0.00101
